,Unnamed: 0,kepid,name,koi_impact,koi_prad
361,361,2837111,Kepler-771 b,0.314,1.59
376,376,5956342,Kepler-265 c,0.202,2.54
377,377,5956342,Kepler-265 b,0.077,1.67
378,378,5956342,Kepler-265 e,0.027,2.39
379,379,5956342,Kepler-265 d,0.67,2.39
380,380,5956656,Kepler-756 b,0.286,1.54
381,381,3109930,Kepler-1736 b,0.061,2.33
382,382,2854914,Kepler-268 b,0.014,2.48
383,383,2854914,Kepler-268 c,0.058,2.73
385,385,3116412,Kepler-772 b,0.091,2.03
391,391,8394721,Kepler-79 d,0.065,7.14
393,393,1161345,Kepler-1973 b,0.374,2.29
395,395,2854698,Kepler-260 b,0.377,1.92
396,396,2854698,Kepler-260 c,0.015,1.75
397,397,8559644,Kepler-111 b,0.426,1.67
403,403,2849805,Kepler-773 b,0.942,1.68
404,404,3114811,Kepler-774 b,0.02,3.51
408,408,3554031,Kepler-415 c,0.063,2.01
410,410,3554031,Kepler-415 b,0.142,1.23
411,411,8394721,Kepler-79 c,0.022,3.63
412,412,7295235,Kepler-743 b,0.171,1.21
413,413,2302548,Kepler-261 b,0.319,2.18
414,414,2302548,Kepler-261 c,0.945,2.82
417,417,9818381,Kepler-43 b,0.424,12.14
419,419,6060203,Kepler-757 b,0.019,1.14
420,420,5880320,Kepler-758 b,0.924,2.98
421,421,5880320,Kepler-758 c,0.621,1.7
422,422,5880320,Kepler-758 d,0.966,2.96
429,429,3859079,Kepler-786 b,0.346,2.28
431,431,4061149,Kepler-1741 b,0.093,1.01
432,432,3444588,Kepler-787 b,0.181,1.16
433,433,8394721,Kepler-79 b,0.011,3.39
434,434,3962243,Kepler-276 c,0.938,3.7
437,437,10154388,Kepler-744 b,0.392,1.62
438,438,1432789,Kepler-745 b,0.037,2.41
439,439,1718189,Kepler-262 c,0.676,1.75
440,440,5880320,Kepler-758 e,0.815,1.74
442,442,6037187,Kepler-759 b,0.029,2.02
447,447,5735762,Kepler-48 b,0.02,1.85
450,450,6359320,Kepler-269 b,0.043,2.26
455,455,3859628,Kepler-1740 b,0.926,3.29
457,457,1718189,Kepler-262 b,0.718,1.45
467,467,8222813,Kepler-760 b,0.5,2.86
468,468,6359320,Kepler-269 c,0.357,1.39
470,470,6362874,Kepler-775 b,0.12,1.16
471,471,6272413,Kepler-776 b,0.66,1.48
476,476,3447722,Kepler-275 c,0.648,3.42
477,477,3447722,Kepler-275 b,0.004,2.2
478,478,3447722,Kepler-275 d,0.61,3.02
481,481,2165002,Kepler-263 b,0.164,2.54
482,482,2165002,Kepler-263 c,0.43,2.18
484,484,1871056,Kepler-264 b,0.016,3.71
485,485,8222813,Kepler-760 c,0.574,1.56
487,487,8240904,Kepler-266 b,0.043,2.98
488,488,8240904,Kepler-266 c,0.003,4.75
491,491,5735762,Kepler-48 c,0.194,2.63
496,496,3962243,Kepler-276 b,0.811,2.73
497,497,3962243,Kepler-276 d,0.988,4.14
498,498,3438507,Kepler-788 b,0.573,2.0
499,499,3869014,Kepler-789 b,0.049,5.99
501,501,1871056,Kepler-264 c,0.019,3.42
502,502,1865042,Kepler-746 b,0.076,1.17
505,505,5780460,Kepler-747 b,0.009,5.17
507,507,8229696,Kepler-761 b,0.753,1.95
509,509,10272640,Kepler-762 b,0.053,12.05
515,515,8346392,Kepler-777 b,0.22,1.38
516,516,8288947,Kepler-778 b,0.127,1.58
518,518,9480189,Kepler-257 c,0.137,4.56
519,519,11974540,Kepler-470 b,0.073,77.76
520,520,9480189,Kepler-257 b,0.682,2.74
521,521,9480189,Kepler-257 d,0.8,5.34
522,522,9512687,Kepler-735 b,0.311,2.9
523,523,8644288,Kepler-18 c,0.027,4.91
525,525,1725016,Kepler-748 b,0.03,2.01
530,530,5446285,Kepler-88 b,0.7699,3.93
531,531,10166274,Kepler-267 b,0.051,1.65
532,532,10166274,Kepler-267 c,0.79,2.05
533,533,10166274,Kepler-267 d,0.035,1.87
535,535,5735762,Kepler-48 d,0.007,2.0
538,538,8351704,Kepler-779 b,0.05,0.74
540,540,9513865,Kepler-736 b,0.021,2.31
542,542,9605514,Kepler-1666 b,0.054,2.4
543,543,9605514,Kepler-1666 c,0.008,2.7
548,548,8125580,Kepler-749 b,0.684,2.04
549,549,8158127,Kepler-750 b,0.011,4.39
554,554,10141900,Kepler-763 b,0.332,1.25
555,555,8410727,Kepler-270 b,0.755,2.07
556,556,8410727,Kepler-270 c,0.743,1.71
558,558,8278371,Kepler-780 b,0.132,0.9
559,559,8280511,Kepler-271 b,0.174,1.22
560,560,8280511,Kepler-271 c,0.064,0.94
561,561,9710326,Kepler-737 b,0.009,1.83
562,562,9761882,Kepler-738 b,0.648,2.37
564,564,9766437,Kepler-739 b,0.668,3.24
566,566,9775938,Kepler-258 b,0.568,4.18
567,567,8644288,Kepler-18 d,0.255,5.94
568,568,8158127,Kepler-750 c,0.374,2.36
570,570,8174625,Kepler-751 b,0.871,3.24
573,573,10157458,Kepler-764 b,0.018,1.52
576,576,10118816,Kepler-1735 b,0.112,0.9
577,577,10122255,Kepler-765 b,0.004,2.21
579,579,3835670,Kepler-473 b,0.036,4.32
585,585,9775938,Kepler-258 c,0.567,3.05
586,586,9787239,Kepler-32 b,0.03,1.94
587,587,9787239,Kepler-32 c,0.017,1.83
588,588,9787239,Kepler-32 d,0.008,2.17
589,589,9787239,Kepler-32 e,0.082,1.23
590,590,9787239,Kepler-32 f,0.162,1.47
593,593,2716853,Kepler-752 b,0.025,2.7
595,595,2715135,Kepler-753 b,0.575,1.86
596,596,8644288,Kepler-18 b,0.741,2.03
598,598,3247268,Kepler-418 b,0.291,9.83
599,599,3247268,Kepler-418 c,0.778,5.1
605,605,10354039,Kepler-1737 b,0.9,5.4
606,606,10330115,Kepler-781 b,0.812,2.77
607,607,10426656,Kepler-272 c,0.219,1.94
608,608,9820483,Kepler-740 b,0.045,4.66
609,609,9941662,Kepler-13 b,0.512,21.42
610,610,7778437,Kepler-471 b,0.066,10.63
611,611,9823457,Kepler-259 b,0.916,3.1
612,612,9823457,Kepler-259 c,0.838,3.01
615,615,2164169,Kepler-1732 b,0.934,4.84
616,616,2574338,Kepler-1733 b,0.067,2.79
617,617,2584163,Kepler-754 b,0.026,1.64
618,618,4180280,Kepler-472 b,0.715,3.07
620,620,2721030,Kepler-766 b,0.015,2.59
624,624,7626506,Kepler-112 b,0.018,2.28
625,625,10426656,Kepler-272 d,0.866,2.41
626,626,10426656,Kepler-272 b,0.349,1.52
627,627,10528068,Kepler-782 b,0.034,3.08
628,628,10468940,Kepler-273 b,0.524,1.92
629,629,9825625,Kepler-741 b,0.015,2.45
630,630,9875711,Kepler-742 b,0.494,3.67
632,632,1026957,Kepler-1731 b,0.123,2.53
642,642,2853093,Kepler-767 b,0.0,8.19
644,644,3245969,Kepler-768 b,0.732,1.67
645,645,3231341,Kepler-24 c,0.979,4.12
646,646,10468940,Kepler-273 c,0.645,2.0
648,648,10337517,Kepler-783 c,0.899,2.36
649,649,10337517,Kepler-783 b,0.454,0.68
650,650,10351231,Kepler-1738 b,0.939,2.8
652,652,8561063,Kepler-42 b,0.83,0.78
653,653,8561063,Kepler-42 c,0.81,0.76
655,655,8561063,Kepler-42 d,0.785,0.66
664,664,7102227,Kepler-290 c,0.545,2.83
665,665,7102227,Kepler-290 b,0.694,2.32
