,Unnamed: 0,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital period,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],indice masa
38,38,38,1457,Kepler-102 c,353.0,3 Earths,11.478,2014,Terrestrial,0.58 x Earth,7.1 days,Kepler-1024,Transit,2459.4444444444443,0.81,0.78,muy caliente,lejos,0.58,3
39,39,39,1458,Kepler-102 d,353.0,3.8 Earths,11.478,2014,Super Earth,1.18 x Earth,10.3 days,Kepler-1025,Transit,2985.0,1.09,1.13,muy caliente,lejos,1.18,3.8
40,40,40,1459,Kepler-102 e,353.0,8.93 Earths,11.478,2013,Super Earth,2.22 x Earth,16.1 days,Kepler-1026,Transit,2351.111111111112,0.79,0.75,muy caliente,lejos,2.22,8.93
41,41,41,1460,Kepler-102 f,353.0,5.2 Earths,11.478,2014,Terrestrial,0.88 x Earth,27.5 days,Kepler-1027,Transit,2622.222222222222,0.91,0.82,muy caliente,lejos,0.88,5.2
42,42,42,1461,Kepler-1030 b,2593.0,6.71 Earths,15.716,2016,Neptune-like,0.221 x Jupiter,19.3 days,Kepler-1028,Transit,2670.0,0.9,0.87,muy caliente,criogenia,0.221,6.71
43,43,43,1462,Kepler-1031 b,2417.0,0.59 Earths,13.8,2016,Terrestrial,0.87 x Earth,1.2 days,Kepler-1029,Transit,2396.6666666666665,0.82,0.77,muy caliente,criogenia,0.87,0.59
44,44,44,1463,Kepler-1032 b,1980.0,4.16 Earths,15.799,2016,Super Earth,1.87 x Earth,3.3 days,Kepler-103,Transit,2849.4444444444443,1.09,1.44,muy caliente,criogenia,1.87,4.16
45,45,45,1464,Kepler-1033 b,4648.0,6.85 Earths,15.929,2016,Neptune-like,0.224 x Jupiter,7.6 days,Kepler-103,Transit,2849.4444444444443,1.09,1.44,muy caliente,criogenia,0.224,6.85
46,46,46,1465,Kepler-1034 b,2303.0,5.73 Earths,15.074,2016,Neptune-like,0.202 x Jupiter,12.1 days,Kepler-1030,Transit,2370.555555555556,0.8,0.76,muy caliente,criogenia,0.202,5.73
47,47,47,1466,Kepler-1035 b,1331.0,1.71 Earths,13.005,2016,Super Earth,1.17 x Earth,2.7 days,Kepler-1031,Transit,2941.6666666666665,1.09,1.12,muy caliente,criogenia,1.17,1.71
48,48,48,1467,Kepler-1036 b,1654.0,9.32 Earths,13.764,2016,Neptune-like,0.269 x Jupiter,122.9 days,Kepler-1032,Transit,2183.8888888888887,0.77,0.71,muy caliente,criogenia,0.269,9.32
49,49,49,1468,Kepler-1037 b,1471.0,2.18 Earths,14.231,2016,Super Earth,1.28 x Earth,1.1 days,Kepler-1033,Transit,2683.8888888888887,0.94,0.92,muy caliente,criogenia,1.28,2.18
50,50,50,1469,Kepler-1038 b,2029.0,12.2 Earths,14.856,2016,Neptune-like,0.315 x Jupiter,148.5 days,Kepler-1034,Transit,2490.0,0.83,0.8,muy caliente,criogenia,0.315,12.2
51,51,51,1470,Kepler-1039 b,1057.0,2.73 Earths,14.096,2016,Super Earth,1.46 x Earth,0.9 days,Kepler-1035,Transit,2803.8888888888887,0.98,0.97,muy caliente,criogenia,1.46,2.73
52,52,52,1471,Kepler-103 b,1637.0,9.7 Earths,12.247,2014,Neptune-like,0.301 x Jupiter,16 days,Kepler-1036,Transit,2676.111111111112,0.95,0.89,muy caliente,criogenia,0.301,9.7
