,Unnamed: 0_x,kepid_x,name,koi_impact_x,koi_prad_x,Unnamed: 0_y,description,discovery date,Unnamed: 0,kepid_y,koi_impact_y,koi_prad_y
77,116,4913852,Kepler-691 b,0.573,2.1,1941,"Kepler-68 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.65 Earths, it takes 5.4 days to complete one orbit of its star, and is 0.0617 AU from its star. Its discovery was announced in 2013.",2016,116,4913852,0.573,2.1
78,120,10875245,Kepler-107 e,0.173,2.89,110,"Kepler-107 e is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.6 Earths, it takes 14.7 days to complete one orbit of its star, and is 0.12639 AU from its star. Its discovery was announced in 2014.",2014,120,10875245,0.173,2.89
79,121,5021899,Kepler-692 b,0.053,3.38,1942,"Kepler-68 c is a super Earth exoplanet that orbits a G-type star. Its mass is 2.04 Earths, it takes 9.6 days to complete one orbit of its star, and is 0.09059 AU from its star. Its discovery was announced in 2013.",2016,121,5021899,0.053,3.38
80,124,5164255,Kepler-693 b,0.692,11.01,1943,"Kepler-690 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 29.6 Earths, it takes 7.7 days to complete one orbit of its star, and is 0.081 AU from its star. Its discovery was announced in 2016.",2016,124,5164255,0.692,11.01
81,125,5252423,Kepler-237 c,0.047,2.11,1107,"Kepler-236 c is a super Earth exoplanet that orbits an M-type star. Its mass is 4.66 Earths, it takes 24 days to complete one orbit of its star, and is 0.132 AU from its star. Its discovery was announced in 2014.",2014,125,5252423,0.047,2.11
82,126,5252423,Kepler-237 b,0.258,1.46,1106,"Kepler-236 b is a super Earth exoplanet that orbits an M-type star. Its mass is 3.09 Earths, it takes 8.3 days to complete one orbit of its star, and is 0.065 AU from its star. Its discovery was announced in 2014.",2014,126,5252423,0.258,1.46
83,127,5272878,Kepler-694 b,0.524,2.44,1944,"Kepler-691 b is a super Earth exoplanet that orbits an M-type star. Its mass is 5.02 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.0649 AU from its star. Its discovery was announced in 2016.",2016,127,5272878,0.524,2.44
84,130,5651104,Kepler-695 b,0.736,8.99,1945,"Kepler-692 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.85 Earths, it takes 21.8 days to complete one orbit of its star, and is 0.1495 AU from its star. Its discovery was announced in 2016.",2016,130,5651104,0.736,8.99
85,131,5792202,Kepler-27 b,0.773,5.0,1230,"Kepler-279 c is a gas giant exoplanet that orbits an F-type star. Its mass is 0.155 Jupiters, it takes 35.7 days to complete one orbit of its star, and is 0.2236 AU from its star. Its discovery was announced in 2013.",2011,131,5792202,0.773,5.0
86,132,10875245,Kepler-107 d,0.706,1.06,109,"Kepler-107 d is a super Earth exoplanet that orbits a G-type star. Its mass is 3.8 Earths, it takes 8 days to complete one orbit of its star, and is 0.08377 AU from its star. Its discovery was announced in 2014.",2014,132,10875245,0.706,1.06
